station_name,operator,address,city,district_area,state,pincode,latitude,longitude,num_chargers,connector_types,power_kw,status,pricing,source_url,coord_precision,corridor
Hotel Eden Garden,Tata Power,NH - 44,Pandiarajapuram,Pandiarajapuram,Tamil Nadu,624201.0,10.11237,77.93769,1,CCS (Type 2),30.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/hotel-eden-garden-pandiarajapuram-tamil-nadu,verified (site page),Urban/City
The Gateway Hotel Madurai,Tata Power,"No 40, Tirupparankunram Road, Pasumalai",Madurai,Pasumalai,Tamil Nadu,625004.0,9.89713,78.08755,1,CCS (Type 2),30.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/the-gateway-hotel-madurai-madurai-tamil-nadu,verified (site page),Urban/City
Fairfield by Marriott Coimbatore,Chargezone (India),"2b, Airport Road, Peelamedu, Civil Aerodrome Post",Coimbatore,Peelamedu,Tamil Nadu,641014.0,11.03623,77.03736,1,CCS (Type 2),30.0,Operational,19/kWh,https://www.evchargestation.in/ev-station/fairfield-by-marriott-coimbatore-coimbatore-tamil-nadu,verified (site page),Urban/City
Ather-Kaveri Tata (Elambalur),Ather Grid,"375/7B1, NH Service Road, Trichy-Chennai Highway, Elambalur, Perambalur",Elambalur,Perambalur,Tamil Nadu,,11.24,78.87,1,AC Type 1,,Operational,,https://www.zigwheels.com/electric-charging-station/Perambalur,approximate (town/road-level),NH32 Chennai-Trichy
IOCL - R V Petroleum,IOCL,"S.No.196/9A2, Outer Bypass Rd, Elambalur, Perambalur",Elambalur,Perambalur,Tamil Nadu,,11.24,78.87,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Perambalur,approximate (town/road-level),NH32 Chennai-Trichy
Zeon Charging - Kalpady,Zeon Charging,"Trichy Chennai Highway, near Aswins Hotel, Erayasamuthram Village, Kalpadi, Perambalur",Kalpadi,Perambalur,Tamil Nadu,,11.2,78.8,2,CCS (Type 2),,Operational,,https://www.zigwheels.com/electric-charging-station/Perambalur,approximate (town/road-level),NH32 Chennai-Trichy
IOCL - Sri Arichandra Maharaja,IOCL,"Sy No 247/8, Keelaperambalur, Kunnam Kadur",Kunnam,Perambalur,Tamil Nadu,,11.15,78.85,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Perambalur,approximate (town/road-level),NH32 Chennai-Trichy
IOCL - Arun Agency,IOCL,"Sy No. 263/4C, Valikandapuram Village, Veppanthatti Taluk, Perambalur",Perambalur,Perambalur,Tamil Nadu,,11.25,78.75,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Perambalur,approximate (town/road-level),NH32 Chennai-Trichy
IOCL - Jai Sree Mahalakshmi,IOCL,"Sy.No.114/2A, Nannai East, Perambalur",Perambalur,Perambalur,Tamil Nadu,,11.2342,78.8807,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Perambalur,approximate (town/road-level),NH32 Chennai-Trichy
IOCL - Vpt Vignesh,IOCL,"S No 224/1B & 224/2B, Aranarai, Perambalur",Perambalur,Perambalur,Tamil Nadu,,11.2342,78.8807,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Perambalur,approximate (town/road-level),NH32 Chennai-Trichy
Perambalur - Aswins Veg Restaurant,Zeon Charging,"Kalpady Rd, NH45, Eraiyasamuthiram, 621113",Perambalur,Perambalur,Tamil Nadu,621113.0,11.206896718510398,78.88154774785042,3,CCS2 (DC),50-60 kW,Operational,,https://zeoncharging.com/ev-charging-perambalur-aswins-veg-restaurant-kalpady-road-621113,verified (site page),NH45 Trichy-Perambalur-Chennai
Veppur - Hotel Sri Anandhas,Zeon Charging,"Veppur, 606105",Veppur,Perambalur,Tamil Nadu,606105.0,11.5865625,79.1569219,1,CCS2 (DC),50 kW,Operational,,https://zeoncharging.com/ev-charging-veppur-hotel-sri-anandhas-veppur-tamil-nadu-india-606105,verified (site page),Perambalur-Veppur road
